,TEAM,RACES,1ST,2ND,3RD,PODIUMS,POLES,FASTEST,POINTS
151,Midland,14,0,0,0,0,0,0,0
152,Lambo,16,0,0,0,0,0,0,0
153,Wolf-Williams,16,0,0,0,0,0,0,0
154,De Tomaso,18,0,0,0,0,0,0,0
155,Simtek,21,0,0,0,0,0,0,0
156,Spirit,25,0,0,0,0,0,0,0
157,Forti,27,0,0,0,0,0,0,0
158,Fondmetal,29,0,0,0,0,0,0,0
159,Merzario,31,0,0,0,0,0,0,0
160,Pacific,33,0,0,0,0,0,0,0
161,Virgin Racing,38,0,0,0,0,0,0,0
162,RAM,44,0,0,0,0,0,0,0
163,Euro Brun,44,0,0,0,0,0,0,0
164,HRT,58,0,0,0,0,0,0,0
165,Coloni,63,0,0,0,0,0,0,0
166,Caterham,94,0,0,0,0,0,0,0
